TEST_NAME_ABBREVIATION	source_unit_clean	n_records	n_subjects	p_missing_values	value_percentiles	p_NA_AA_A_LL_L_N_H_HH
vp-cl	mmol/l	10906	4613	0	[ 67, 100, 102, 104, 105, 106, 107, 108, 110, 111, 142,  ]	[ 70][  0, 30,  0,  0,  0,  0,  0]
f-campvi	NA	14394	12359	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	[ 94][  0,  3,  0,  0,  3,  0,  0]
b-pvk+eo	NA	1333	958	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	[100][NA,NA,NA,NA,NA,NA,NA]
u-fenta-o	NA	3725	1659	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	[ 60][  0,  0,  0,  0, 40,  0,  0]
u-trama-o	NA	4238	1972	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	[ 65][  0,  2,  0,  0, 33,  0,  0]
pt-obd-his	NA	643	643	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	[ 46][  7,  1,  0,  0, 46,  0,  0]
pt-papa-tk	NA	15002	12197	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	[ 94][  0,  1,  0,  0,  5,  0,  0]
s-hepyabg	index	627	583	31	[ 0.8, 0.9, 1.024, 1.2, 1.598, 2.17, 2.9, 4.194, 5.322, 7, 9.15,  ]	[ 31][  0, 52,  0,  0,  0, 17,  0]
u-kemseu	NA	14911	4378	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	[100][NA,NA,NA,NA,NA,NA,NA]
u-prot-pi	NA	420	272	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
cu-alb	NA	8373	3800	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	[ 86][  0,  8,  0,  0,  1,  5,  0]
f-paranho	NA	11199	8742	100	[ 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1,  ]	[ 70][  0,  6,  0,  0, 24,  0,  0]
f-giarnho	NA	3626	2940	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	[ 98][  0,  0,  0,  0,  1,  0,  0]
f-ehisnho	NA	2000	1655	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	[ 98][  0,  0,  0,  0,  2,  0,  0]
p-probnp	NA	49832	28113	100	[ 65, 88.8, 144.2, 244.6, 426.4, 545, 787.2, 1078.2, 2013.8, 3344, 5861,  ]	[ 54][  0, 25,  0,  0, 10, 11,  0]
albumiininjakreatiniininsuhde	mg/mmol	301	278	0	[ 0, 0.3, 0.4, 0.6, 0.8, 1.2, 1.8, 3, 7.1, 34.3, 580.2,  ]	NA
ekg-12kytkentäälevossa	NA	1012	851	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	[ 55][  0,  0,  0,  0, 45,  0,  0]
u-epit	NA	27295	17962	98	[ 0, 0, 0, 0, 0, 0, 1, 2, 3, 5.12, 34,  ]	[ 85][  0,  3,  0,  0,  8,  3,  0]
s-infliab	NA	4177	1543	100	[ 11.5, 15.64, 19.78, 23.92, 28.06, 32.2, 33.62, 35.04, 36.46, 37.88, 39.3,  ]	[ 82][  0,  1,  0,  0, 17,  0,  0]
p-rf	iu/ml	10048	8696	8	[ 4, 7, 10, 11, 12.1, 14.7, 18.9, 26.8, 47, 103, 2472.1,  ]	[ 50][  0, 33,  0,  0,  3, 14,  0]
-covid-19-koronavirustauti,nho(kval)	NA	1828	1077	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	[100][  0,  0,  0,  0,  0,  0,  0]
-hhpvnho	NA	10705	6229	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	[ 51][  0, 19,  0,  0, 29,  0,  0]
pt-gfre-md	ml/min/173m2	22586	10391	0	[ 2, 31, 43, 50, 55, 59, 67, 77, 87, 100, 625,  ]	[ 37][  0, 42,  0, 10,  9,  2,  0]
s-ck	u/l	9084	7152	0	[ 10, 55, 69, 81, 94, 110, 128, 154, 198, 291, 64100,  ]	[ 77][  0,  2,  0,  2,  9, 11,  0]
u-syto	NA	26595	9963	100	[ 23.07, 23.07, 23.07, 23.07, 23.07, 23.07, 23.07, 23.07, 23.07, 23.07, 23.07,  ]	[ 76][  1,  0,  0,  0, 23,  0,  0]
f-saponho	NA	3410	2475	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	[ 98][  0,  1,  0,  0,  1,  0,  0]
suolis-is	u/l	578	525	0	[ 1, 2, 3, 4, 6, 8, 10, 13, 19, 30, 102,  ]	[ 65][  0, 35,  0,  0,  0,  0,  0]
s-prot	g/l	71495	27931	0	[ 21.9, 57, 61, 63, 65, 67, 69, 71, 73, 76.6, 141,  ]	[ 58][  0, 24,  0,  5, 11,  1,  0]
b-leukosyytit,erittelylaskenta	NA	2410	1479	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	[ 29][  0,  0,  0,  0, 71,  0,  0]
u-albumiininjakreatiniininsuhde	NA	299	289	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
NA	g/l	27917	2756	0	[ 0, 1.4, 1.9, 2.8, 4.1, 5.1, 6.7, 8.7, 32.8, 45.6, 341,  ]	[ 72][  0, 28,  0,  0,  0,  0,  0]
ab-shco3	NA	249	190	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
sy-neut	%	1428	1025	0	[ 0, 6, 15, 33, 52, 67, 78, 85, 90, 94, 100,  ]	[ 85][  0, 15,  0,  0,  1,  0,  0]
crpvieri	mg/l	4626	2347	0	[ 0, 4.4, 6.4, 10, 14, 21, 29, 42, 62, 94, 256,  ]	[100][NA,NA,NA,NA,NA,NA,NA]
veriryhmä,abojarh,punasoluista	NA	504	464	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
ex-baktvr	NA	3181	1438	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	[ 98][  0,  1,  0,  0,  1,  0,  0]
l-promyel	%	21255	5932	1	[ 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 37,  ]	[ 84][  0, 12,  0,  0,  1,  2,  0]
p-traispr	NA	449	410	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
p-vuotot	NA	1912	1541	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	[ 84][  0,  0,  0,  0, 16,  0,  0]
s-t4v	pmol/l	1085	647	0	[ 8, 13, 13, 14, 14, 15, 16, 16, 17, 18, 88,  ]	[ 97][  0,  3,  0,  0,  0,  0,  0]
p-bil-kj	NA	16994	10518	100	[ 5.5, 5.65, 5.8, 5.9, 6, 6.35, 6.7, 6.9, 7.1, 7.65, 8.2,  ]	[ 64][  0,  8,  0,  0, 19,  9,  0]
b-crp-o	NA	5650	2168	50	[ 2.4, 8, 11, 15, 20, 27, 36, 48, 68, 98, 200,  ]	[100][  0,  0,  0,  0,  0,  0,  0]
nu-albkrea	mg/mmol	10555	6330	0	[ 0, 0.3, 0.5, 0.7, 0.9, 1.3, 2.1, 3.6, 8, 26.2, 1150.1,  ]	[ 43][  0,  4,  0,  0, 23, 29,  0]
s-ca-iona	NA	15232	9153	98	[ 0.74, 1.1, 1.15, 1.17, 1.19, 1.21, 1.23, 1.24, 1.27, 1.31, 1.82,  ]	[ 92][  0,  0,  0,  0,  8,  0,  0]
hgb	g/l	3161	568	0	[ 67, 114, 123, 128, 132, 135, 139, 144, 148, 155, 230,  ]	[ 77][  0, 23,  0,  0,  0,  0,  0]
b-crp-vt	mg/l	3020	1267	0	[ 1, 6.90000000000003, 9, 13, 18, 24, 34, 48, 70, 103, 342,  ]	[ 21][  0, 71,  0,  0,  3,  5,  0]
u-suhteellinentiheys	NA	4444	2585	42	[ 1.003, 1.01, 1.014, 1.015, 1.015, 1.018, 1.02, 1.02, 1.022, 1.025, 1.042,  ]	[ 33][  0, 40,  0,  0, 28,  0,  0]
b-hba1c	mmol	1221	545	0	[ 25, 34, 36, 37, 39, 40, 42, 44, 49, 58, 182,  ]	[ 64][  0, 36,  0,  0,  0,  0,  0]
-tbvi	NA	22276	8031	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	[ 98][  0,  1,  0,  0,  1,  0,  0]
rs-virus,nukleiinihappo(kval)	NA	70	67	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
s-golim	mg/l	682	410	0	[ 0.005, 0.5, 0.8, 1.1, 1.3, 1.6, 1.9, 2.3, 3.1, 4.2, 14,  ]	NA
s-bopeabg	iu/ml	884	814	0	[ 0.1, 1.4, 5, 7, 9, 11.4, 15, 23.3, 40.04, 77.7, 1100,  ]	[ 75][  0,  9,  0,  0,  5, 11,  0]
e-punasolujenkokojakaum	%	894	876	0	[ 10.8, 12.1, 12.5, 12.9, 13.2, 13.5, 13.9, 14.2, 14.6, 15, 23.5,  ]	[100][NA,NA,NA,NA,NA,NA,NA]
s-ph(akt)	NA	14342	8127	99	[ 7.22, 7.34, 7.36, 7.37, 7.38, 7.39, 7.4, 7.41, 7.42, 7.43, 7.52,  ]	[100][  0,  0,  0,  0,  0,  0,  0]
u-syto-1	NA	10446	4804	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	[ 98][  0,  1,  0,  0,  1,  0,  0]
pt-ekg-mon	NA	4596	2248	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	[  0][  0,  0,  0,  0,100,  0,  0]
s-ohkarba	umol/l	3597	1501	0	[ 0, 27, 35.7, 41, 47, 54, 61, 68, 79, 97, 676,  ]	[ 68][  0, 11,  0,  4, 17,  0,  0]
-cyp2c9	NA	1550	1497	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	[ 23][  0,  0,  0,  0, 77,  0,  0]
u-leuk-bv	e6/l	17867	5623	0	[ 0, 0.9, 1.7, 2.7, 4.2, 7.3, 14.06, 34.2, 115.56, 596.18, 33640.2,  ]	[ 54][  0, 44,  0,  0,  1,  0,  0]
p-fidd-o	NA	2803	2479	98	[ 0.1, 0.158, 0.2, 0.2, 0.276, 0.3, 0.372, 0.5, 0.98, 1.498, 3.9,  ]	[ 87][  0,  2,  0,  0,  2,  9,  0]
s-hcgbv/d	NA	4763	3821	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	[ 86][  0,  0,  0,  0, 14,  0,  0]
sy-lymf	%	525	353	2	[ 0, 4, 6, 8, 10, 16, 22, 30, 52.6, 81, 100,  ]	NA
b-cd16/56	e9/l	2427	1216	1	[ 0, 0.06, 0.09, 0.12, 0.15, 0.18, 0.21, 0.26, 0.32, 0.43, 1.45,  ]	[ 83][  0, 17,  0,  0,  0,  0,  0]
ts-värj	NA	4681	3786	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	[100][NA,NA,NA,NA,NA,NA,NA]
bl-bal-1	NA	3138	2499	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	[ 80][  0,  0,  0,  0, 20,  0,  0]
s-puumabg	NA	4687	4257	92	[ 0.05, 0.11, 0.16, 0.2, 0.24, 0.3, 0.37, 0.51, 1.07, 2.93, 2560,  ]	[ 79][  0,  4,  0,  0, 16,  1,  0]
fs-kalsium,ionisoitunut	NA	3451	2786	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	[ 28][  0,  0,  0,  0, 72,  0,  0]
e-veriryhmä,tarkistus	NA	1963	1513	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	[  0][  0,  0,  0,  0,100,  0,  0]
s-jo1abbl	NA	3855	3324	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	[ 52][  0,  0,  0,  0, 48,  0,  0]
s-ssbabbl	NA	3863	3331	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	[ 52][  0,  0,  0,  0, 48,  0,  0]
s-anaabbl	NA	2356	2027	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	[ 61][  0,  0,  0,  0, 39,  0,  0]
pt-luutih2	NA	1453	1272	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	[ 88][  0,  0,  0,  0, 12,  0,  0]
s-metnef	NA	1484	1216	99	[ 0.1, 0.1, 0.1, 0.14, 0.2, 0.2, 0.2, 0.2, 0.2, 0.22, 0.3,  ]	[ 86][  0,  0,  0,  0, 14,  0,  0]
s-caph7.4	mmol/l	5237	2740	0	[ 0.88, 1.16, 1.19, 1.21, 1.22, 1.23, 1.24, 1.26, 1.28, 1.31, 2.03,  ]	[ 83][  0, 17,  0,  0,  0,  0,  0]
p-ca12-5	u/ml	26471	8848	0	[ 1, 8, 11, 13, 16, 21, 30, 49, 103, 297, 78101,  ]	[ 63][  0, 32,  0,  0,  1,  4,  1]
li-cxcl13	NA	1419	1328	100	[ 19, 139.6, 260.2, 380.8, 452, 498.5, 545, 1156.4, 2897.6, 4638.8, 6380,  ]	[ 85][  0,  2,  0,  0, 13,  0,  0]
li-gluk	mmol/l	11532	8783	0	[ 0.1, 2.9, 3.1, 3.3, 3.4, 3.5, 3.7, 3.8, 4.1, 4.8, 33,  ]	[ 65][  0, 18,  0,  1, 13,  3,  0]
li-diffi	NA	6982	4666	100	[ 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1,  ]	[ 69][  0,  0,  0,  0, 31,  0,  0]
s-cladhee	u/ml	2238	2138	6	[ 0, 0, 0, 0.01, 0.01, 0.01, 0.02, 0.03, 0.07, 0.35, 62.9,  ]	[ 76][  0,  7,  0,  0, 15,  2,  0]
s-tsh-abr	mu/l	2265	907	0	[ 0.17, 0.52, 0.76, 0.971999999999999, 1.226, 1.5, 1.83, 2.32, 3.15, 4.992, 170.21,  ]	[ 95][  0,  0,  0,  0,  5,  0,  0]
-chpnnho	NA	7788	5384	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	[ 94][  0,  0,  0,  0,  6,  0,  0]
-pin4nho	NA	7149	4540	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	[ 89][  0,  0,  0,  0, 11,  0,  0]
s-hepyab	NA	8606	7227	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	[ 89][  0,  0,  0,  0, 11,  0,  0]
s-hbsab	miu/ml	6095	4890	0	[ 2.5, 19, 32, 50.05, 78, 121.1, 187, 279.8, 420, 642.06, 999,  ]	[ 29][  0,  8,  0,  0, 49, 13,  0]
s-mypnabg	NA	7325	6588	82	[ 0.1, 0.5, 1.1, 1.7, 2.4, 3.7, 5.77999999999999, 9.7, 22.04, 67.76, 593,  ]	[ 80][  0,  4,  0,  0, 13,  4,  0]
sao2	NA	2680	1585	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	[100][NA,NA,NA,NA,NA,NA,NA]
vb-laktaat	mmol/l	14632	5390	0	[ 0.2, 0.8, 1, 1.1, 1.2, 1.4, 1.6, 1.8, 2.1, 2.7, 22,  ]	[ 83][  0, 17,  0,  0,  0,  0,  0]
cb-hb	g/l	12110	4698	0	[ 46, 98, 107, 115, 122, 128, 134, 140, 147, 157, 253,  ]	[ 99][  0,  0,  0,  0,  1,  0,  0]
s-alat	NA	4415	3564	87	[ 9, 14, 17, 20, 23, 26, 30, 35, 40.2, 53.6, 150,  ]	[ 85][  0,  3,  0,  1, 11,  1,  0]
u-ctngnho	NA	24436	11326	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	[ 99][  0,  0,  0,  0,  1,  0,  0]
-boppnho	NA	3161	2101	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	[ 99][  0,  0,  0,  0,  1,  0,  0]
s-mkomp-2	g/l	21733	9682	0	[ 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 47.1,  ]	[ 55][  0,  2,  0,  0, 39,  3,  0]
s-scc-ag	NA	480	342	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
pm-scl75	NA	1694	1461	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	[ 97][  0,  1,  0,  0,  2,  0,  0]
pt-gfrekce	NA	4455	1868	98	[ 15, 22.9, 26.8, 31.7, 38.6, 46, 52.4, 58, 66.4, 76.1, 125,  ]	[  0][  0,  0,  0, 88, 11,  0,  0]
s-covid-19-koronavirustauti,iga-vasta-aineet	NA	2500	2215	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	[  0][  0,  0,  0,  0,100,  0,  0]
s-cv19ab	NA	3651	3255	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	[ 22][  0,  0,  0,  0, 77,  0,  0]
u-alb-mi	NA	4182	2048	84	[ 1, 2, 3, 4, 6, 9, 11, 20, 49, 277.2, 5090,  ]	[ 69][  0,  0,  0,  0, 31,  0,  0]
sy-monon	%	166	129	0	[ 1, 5, 8, 13, 18, 31.5, 45, 63.4999999999999, 79, 91.5, 99,  ]	NA
pt-gfrekys	ml/min/173m2	4788	1856	0	[ 4.3, 12, 15.94, 20, 24.6400000000001, 30.45, 38, 46, 59, 77.2100000000001, 138,  ]	[ 36][  0, 17,  0, 47,  0,  0,  0]
pt-spirom	NA	1426	1206	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	[ 79][  0,  0,  0,  1, 20,  0,  0]
u-gluprot	NA	2098	1919	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	[100][NA,NA,NA,NA,NA,NA,NA]
f-vibrnho	NA	1219	1002	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	[ 91][  0,  0,  0,  0,  8,  0,  0]
c-reaktiivinenproteiini,vieritesti	NA	385	265	34	[ 1, 3, 6, 8, 11, 15, 21, 31.5, 50, 79.5, 168,  ]	NA
u-bact	NA	4569	3402	96	[ 0, 1.9, 4.5, 7.3, 12.32, 22.1, 64.2, 176.88, 490.26, 3270.72, 47860.3,  ]	[ 99][  0,  0,  0,  0,  1,  0,  0]
fp-laktaat	NA	3715	1719	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	[ 55][  0,  3,  0,  0, 32,  9,  0]
s-adaliab	NA	1973	1155	100	[ 10.1, 10.1, 10.1, 10.1, 10.1, 10.1, 10.1, 10.1, 10.1, 10.1, 10.1,  ]	[ 88][  0,  2,  0,  0,  9,  0,  0]
s-adalip	NA	163	103	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
s-hcgbv	ug/l	3398	2620	0	[ 2.05, 23, 32.8, 41.4, 49.2, 58.1, 68.12, 80.3, 99, 128.7, 703.7,  ]	[100][NA,NA,NA,NA,NA,NA,NA]
t18-riski	NA	3426	2610	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	[ 97][  0,  0,  0,  0,  3,  0,  0]
u-blod-0	NA	1738	431	98	[ 0, 1, 1, 1.8, 2, 2, 3, 3, 3, 5.7, 50,  ]	NA
u-ph-0	NA	1742	435	5	[ -6.5, 5, 5.5, 5.5, 5.5, 6, 6, 6.5, 7, 7, 9,  ]	NA
v-k	NA	254	144	2	[ 2.4, 3.4, 3.6, 3.7, 3.9, 4, 4.1, 4.2, 4.3, 4.63, 139,  ]	NA
s-vehnäe	u/ml	282	272	7	[ 0, 0.021, 0.05, 0.09, 0.12, 0.18, 0.256, 0.37, 0.728, 1.587, 856,  ]	NA
s-kefakle	u/ml	148	142	0	[ 0, 0.01, 0.01, 0.01, 0.02, 0.02, 0.03, 0.03, 0.05, 0.08, 2.56,  ]	NA
b-intoks	NA	1448	1055	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	[100][  0,  0,  0,  0,  0,  0,  0]
u-bendict	NA	1860	618	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	[ 91][  0,  7,  0,  0,  2,  0,  0]
vb-methemoglobiini	%	2112	1091	0	[ 0, 0.3, 0.4, 0.4, 0.5, 0.5, 0.6, 0.7, 0.8, 1, 5582,  ]	[ 69][  0,  1,  0,  0, 31,  0,  0]
b-perusverenkuva,trombosyytitjaneutrofiilit,pvk+neut	NA	2554	1157	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	[100][NA,NA,NA,NA,NA,NA,NA]
vb-verikaasuanalyysi,laaja	NA	2146	1114	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	[ 68][  0,  1,  0,  0, 31,  0,  0]
-parinfluenssa2-virus,nukleiinihappo	NA	109	94	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
kv229enho	NA	5555	3364	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	[ 99][  0,  1,  0,  0,  0,  0,  0]
vb-emäsylimäärä	NA	896	493	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
s-igg2	g/l	4147	3061	0	[ 0.04, 1.256, 1.7, 2.07, 2.39, 2.69, 3.046, 3.43, 4.04, 4.95, 13.5,  ]	[ 74][  0, 13,  0,  4,  9,  1,  0]
ca++ph7.4	mmol/l	16682	4217	0	[ 0.68, 1.13, 1.16, 1.18, 1.2, 1.21, 1.23, 1.24, 1.26, 1.29, 2.54,  ]	[ 74][  0, 21,  0,  0,  5,  0,  0]
e-erytrosyytit,kokojakaumaindeksi	%	38968	6823	0	[ 11, 12, 13, 13, 13, 14, 14, 15, 16, 17, 34,  ]	[ 69][  0,  3,  0,  0,  2, 27,  0]
s-yerp3ab	titre	34	33	NA	NA	NA
cb-standardibikarbonaatti	mmol/l	1478	879	0	[ 11.8, 21, 22.7, 23.7, 24.4, 25.2, 25.9, 26.9, 28.26, 30.6, 41.4,  ]	[  1][  0, 53,  0,  0, 45,  0,  0]
s-vlseabm	NA	3504	3070	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	[ 29][  0,  3,  0,  0, 61,  7,  0]
cb-inrpika	NA	1330	1192	35	[ 0.8, 0.9, 1, 1.1, 1.1, 1.1, 1.1, 1.2, 1.4, 2.3, 8,  ]	[ 84][  0, 16,  0,  0,  0,  0,  0]
e-hemoglobiini,keskimassa	pg/u	723	549	0	[ 19.6, 28, 28.9, 29.4, 29.9, 30.3, 30.7, 31.2, 31.7, 32.28, 40.7,  ]	[  0][  0,  6,  0,  0, 94,  0,  0]
leuk-o	NA	8383	2078	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	[ 77][  0, 23,  0,  0,  0,  0,  0]
s-mg	mmol/l	3875	3259	0	[ 0.38, 0.76, 0.8, 0.83, 0.85, 0.86, 0.88, 0.9, 0.92, 0.95, 1.93,  ]	[ 78][  0,  5,  0,  2,  8,  7,  0]
s-w-h:g.m	NA	980	925	100	[ 2500, 2500, 2500, 2500, 2500, 2500, 2500, 2500, 2500, 2500, 2500,  ]	[ 78][  0,  0,  0,  0, 20,  1,  0]
u-kemseul,u-keto-o	NA	1835	539	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	[100][NA,NA,NA,NA,NA,NA,NA]
u-kemseul,u-leuk-o	NA	1810	539	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	[100][NA,NA,NA,NA,NA,NA,NA]
u-baktvi/	NA	562	244	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
s-micfaeg	NA	78	74	99	[ 4.3, 4.3, 4.3, 4.3, 4.3, 4.3, 4.3, 4.3, 4.3, 4.3, 4.3,  ]	NA
s-thevulg	NA	41	39	NA	NA	NA
s-aspfumg	NA	105	95	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
s-aurpulg	NA	57	55	98	[ 8.2, 8.2, 8.2, 8.2, 8.2, 8.2, 8.2, 8.2, 8.2, 8.2, 8.2,  ]	NA
s-pensppg	NA	57	55	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
syto	NA	1100	815	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	[100][NA,NA,NA,NA,NA,NA,NA]
lisäpyyntö	NA	1721	1489	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	[100][NA,NA,NA,NA,NA,NA,NA]
l-neutrof	%	1733	461	0	[ 2, 41, 47, 51, 53, 56, 59, 62, 66, 71, 93,  ]	NA
s-kalsium,ionisoitunut	NA	1487	1004	98	[ 1.02, 1.107, 1.158, 1.174, 1.18, 1.195, 1.224, 1.24, 1.252, 1.273, 107,  ]	[ 52][  0,  0,  0,  0, 48,  0,  0]
audit	NA	398	308	31	[ 0, 0, 1, 1, 2, 3, 4, 4, 5.60000000000002, 9, 142,  ]	NA
s-gadab	NA	5712	5239	100	[ 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1,  ]	[ 59][  0,  5,  0,  0, 33,  3,  0]
b-crp-os	NA	723	395	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
resbaktnho	NA	770	661	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	[ 99][  0,  1,  0,  0,  0,  0,  0]
s-borrabg	au/ml	1351	1037	0	[ 5, 10, 12.8, 16.6, 22, 28.2, 38, 54.8, 81, 134, 831,  ]	[ 52][  0,  4,  0,  0,  6, 39,  0]
u-keto	NA	3893	2169	99	[ 0, 0, 0, 0, 0, 0, 0, 1, 1, 1.014, 1.03,  ]	[ 97][  0,  0,  0,  0,  3,  0,  0]
pt-dxm-r1:p-korsol	nmol/l	22	22	NA	NA	NA
virtsanph	NA	30	30	NA	NA	NA
s-timotee	u/ml	4784	4424	0	[ 0, 0.01, 0.04, 0.15, 0.38, 0.76, 1.63, 3.237, 6.5, 16.2, 213,  ]	[ 28][  0, 26,  0,  0, 12, 33,  0]
-dnaex	NA	2420	2274	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	[ 88][  0,  0,  0,  0, 12,  0,  0]
-pyör.s.	NA	741	606	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	[  3][  0,  0,  0,  0, 97,  0,  0]
ly-cd4+8+	NA	67	63	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
b-cd4	NA	145	125	97	[ 0.1, 0.132, 0.164, 0.194, 0.222, 0.25, 0.27, 0.29, 0.312, 0.336, 0.36,  ]	NA
b-cd19	NA	147	127	97	[ 0, 0.044, 0.088, 0.112, 0.116, 0.12, 0.14, 0.16, 0.17, 0.17, 0.17,  ]	NA
fs-glukoosi,2h-näyte	mmol/l	27	25	NA	NA	NA
pt-klr-tje	NA	11378	10452	100	[ 4.5, 4.75, 5, 7.045, 9.09, 15.245, 21.4, 22.225, 23.05, 24.05, 25.05,  ]	[ 99][  0,  0,  0,  0,  1,  0,  0]
s-pisto2	NA	895	351	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
pt-biops-l	NA	1637	1349	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	[100][  0,  0,  0,  0,  0,  0,  0]
s-dnanab	iu/ml	2816	1361	0	[ 0.5, 1, 2, 2.1, 4, 7, 11, 17, 28, 59, 362,  ]	[ 56][  0, 40,  0,  0,  1,  2,  0]
s-kelila	NA	1457	1327	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	[ 94][  0,  0,  0,  0,  6,  0,  0]
s-hae	NA	695	589	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	[ 70][  0,  0,  0,  0, 30,  0,  0]
s-lakalbe	u/ml	77	50	NA	NA	NA
u-om.p.	NA	850	421	20	[ 1, 1.01, 1.01, 1.015, 1.015, 1.015, 1.02, 1.02, 1.02, 1.025, 1010,  ]	NA
kalsium,albumiinikorjattu	NA	279	240	99	[ 2.29, 2.317, 2.344, 2.371, 2.392, 2.41, 2.428, 2.46, 2.52, 2.58, 2.64,  ]	NA
pt-gfrekys	NA	493	217	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	NA
-tbvrvi	NA	8661	5461	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	[ 71][  0,  0,  0,  0, 29,  0,  0]
ts-lmark	NA	632	555	100	[ _, _, _, _, _, _, _, _, _, _, _,  ]	[100][NA,NA,NA,NA,NA,NA,NA]
tromboplastiiniaika,inr-tulostus,plasma	inr	6305	1780	0	[ 0.8, 1, 1, 1.1, 1.1, 1.3, 1.8, 2.2, 2.6, 3.1, 7.6,  ]	[ 46][  0,  4,  0,  0,  1, 49,  0]
